Source Account,Tweet,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
@BBCWorld,"RT @bbcworldservice: Bye, bye, Beetle! https://t.co/WT1W4sh6sV",Sat Sep 15 15:41:11 +0000 2018,0.0,0.0,1.0,0.0,1
@BBCWorld,Kemi Adeosun: Nigeria minister resigns over forged certificate https://t.co/vgG48Q8Ut0,Sat Sep 15 15:36:26 +0000 2018,-0.3182,0.0,0.777,0.223,2
@BBCWorld,"#TropicalStormFlorence: Seven dead as @FEMA warns of ""catastrophic flooding"" to come https://t.co/BJkEXE5ABl",Sat Sep 15 15:35:17 +0000 2018,-0.836,0.0,0.503,0.497,3
@BBCWorld,"This Finnish choir don't sing a note, but they're a scream to watch

[tap to expand]

https://t.co/SedEkfcyCi https://t.co/VOkw87Kq2M",Sat Sep 15 15:07:17 +0000 2018,-0.5499,0.0,0.809,0.191,4
@BBCWorld,"RT @BBCSteveR: Check out the giant columns of tanks &amp; APCs at Russia's Vostok manoeuvres: pure muscle-flexing by Moscow. Plus, joint drills…",Sat Sep 15 14:15:25 +0000 2018,0.0,0.0,1.0,0.0,5
@BBCWorld,In pictures: Typhoon Mangkhut rips through Philippines https://t.co/VOWmA3foT4,Sat Sep 15 14:06:36 +0000 2018,0.0,0.0,1.0,0.0,6
@BBCWorld,"'World's oldest brewery' found in cave in Israel, say researchers https://t.co/O0kzhSLE43",Sat Sep 15 13:53:03 +0000 2018,0.0,0.0,1.0,0.0,7
@BBCWorld,"Tropical Storm #Florence ""will produce catastrophic flooding""

@FEMA warns parts of North Carolina could see anothe… https://t.co/3UtF911JJB",Sat Sep 15 13:38:15 +0000 2018,-0.5574,0.0,0.765,0.235,8
@BBCWorld,"Blast off! 

@NASA's #ICESat2 is launched on its mission to measure the condition of Earth's ice cover from space… https://t.co/3CNXJX1ruA",Sat Sep 15 13:12:18 +0000 2018,0.2003,0.086,0.914,0.0,9
@BBCWorld,RT @bbcweather: This satellite picture shows Typhoon Mangkhut as it approached the Phillipines. The storm is over 550 miles wide. https://t…,Sat Sep 15 11:55:05 +0000 2018,0.0,0.0,1.0,0.0,10
@BBCWorld,RT @danroan: Exclusive: Wada secretly suggested compromise to Russians in June to bring end to anti-doping agency ban https://t.co/StEMkc93…,Sat Sep 15 10:37:37 +0000 2018,-0.4767,0.068,0.769,0.163,11
@BBCWorld,RT @BBCNews: ICESat: Space laser to get unprecedented view of Earth's ice 🌎https://t.co/tg27lOT9Yt,Sat Sep 15 10:20:36 +0000 2018,0.0,0.0,1.0,0.0,12
